sector,source,company,ticker,headline,sentiment,score,theme,risk,url
AI Infrastructure,News,NVIDIA,NVDA,NVIDIA reports record data center revenue as AI chip demand remains robust despite supply constraints,Bullish,0.82,AI Capex Growth,GPU Supply Constraints,https://reuters.com/technology/nvidia-data-center-revenue-record
AI Infrastructure,Social,AMD,AMD,Investor discussions rise around semiconductor demand and data center power usage,Bullish,0.74,Semiconductor Demand,Energy Availability,https://bloomberg.com/markets/semiconductor-demand-data-centers
AI Infrastructure,News,Data Centers,NA,Analysts warn that power shortages may slow AI data center expansion in key markets,Bearish,-0.45,Power Constraints,Infrastructure Bottleneck,https://ft.com/content/ai-data-center-power-shortage
AI Infrastructure,News,Microsoft,MSFT,Microsoft Azure AI services revenue grows 35% year-over-year driven by Copilot enterprise adoption,Bullish,0.76,Cloud AI Adoption,Concentration Risk,https://bloomberg.com/news/microsoft-azure-ai-growth
AI Infrastructure,News,Amazon,AMZN,AWS commits USD 150B in AI infrastructure investment signalling long-term hyperscaler expansion,Bullish,0.69,Hyperscaler Investment,Execution Risk,https://reuters.com/technology/aws-ai-infrastructure-investment
AI Infrastructure,Analyst Report,Alphabet,GOOGL,Google DeepMind increases AI research budget by 40% to compete in foundation model race across enterprise verticals,Bullish,0.72,AI Research Investment,Talent Competition,https://bloomberg.com/news/google-deepmind-ai-budget-increase
AI Infrastructure,News,Anthropic,NA,Enterprise LLM adoption accelerates as Fortune 500 companies deploy AI assistants across knowledge-worker workflows,Bullish,0.65,Enterprise AI Adoption,Security Vulnerability,https://reuters.com/technology/enterprise-llm-adoption-fortune500
AI Infrastructure,Bloomberg Terminal,Broadcom,AVGO,Custom AI chip demand from hyperscalers drives Broadcom ASIC revenue above consensus for third consecutive quarter,Bullish,0.71,Custom Silicon Demand,Supply Concentration,https://bloomberg.com/markets/broadcom-asic-revenue-beat
AI Infrastructure,Regulatory,EU AI Act,NA,EU AI Act compliance deadlines create near-term cost uncertainty for AI product deployments in European markets,Bearish,-0.38,Regulatory Headwind,Compliance Cost,https://ft.com/content/eu-ai-act-compliance-costs
Banking,News,RBC,RY,RBC launches AI-powered client intelligence platform to personalize wealth management advice at scale,Bullish,0.78,AI Client Intelligence,Model Governance,https://theglobeandmail.com/business/rbc-ai-client-intelligence
Banking,News,Canadian Banks,RY,Canadian banks increase GenAI investment to improve underwriting and credit scoring accuracy,Bullish,0.65,GenAI in Credit,Regulatory Compliance,https://ft.com/content/canadian-banks-genai-credit-scoring
Banking,News,RBC Capital Markets,RY,RBC Capital Markets introduces AI-powered research summarization for institutional investors,Bullish,0.72,Research Automation,Data Quality,https://bloomberg.com/news/rbc-capital-markets-ai-research
Banking,News,Big Six Banks,NA,Open banking framework in Canada creates competitive pressure from embedded finance players,Bearish,-0.42,Open Banking Disruption,Fintech Competition,https://theglobeandmail.com/business/open-banking-canada-fintech
Banking,Regulatory,OSFI,NA,OSFI tightens model governance guidelines for AI systems deployed in Canadian financial services,Bearish,-0.38,Regulatory Compliance,Model Governance,https://reuters.com/business/osfi-ai-model-governance-guidelines
Banking,News,Canadian Banks,NA,Canadian banks accelerate digital payments infrastructure ahead of Payments Canada real-time rail launch,Bullish,0.61,Digital Payments,Infrastructure Execution,https://bloomberg.com/news/canada-payments-real-time-rail
